Q10,Pool,ID,Timepoint
1.37134236,2,Hermit2,19-Jul
1.681251084,3,Hermit3,19-Jul
1.225917587,6,Hermit6,19-Jul
1.362161083,7,Hermit7,19-Jul
1.516620951,12,Hermit12,19-Jul
1.196408942,18,Hermit18,19-Jul
1.694180644,22,Hermit22,19-Jul
1.716545537,23,Hermit23,19-Jul
1.465446941,24,Hermit24,19-Jul
1.807757896,28,Hermit28,19-Jul
1.31251442,30,Hermit30,19-Jul
1.927383354,32,Hermit32,19-Jul
1.227733486,10,Hermit10,19-Mar
1.550918752,16,Hermit16,19-Mar
1.447047563,20,Hermit20,19-Mar
1.156778402,29,Hermit29,19-Mar
1.764618348,31,Hermit31,19-Mar
1.186727547,3,Hermit3,19-Mar
1.346115971,13,Hermit13,19-Mar
1.13730976,15,Hermit15,19-Mar
1.796409284,18,Hermit18,19-Mar
1.307625605,19,Hermit19,19-Mar
1.429691004,28,Hermit28,19-Mar
1.118184525,7,Hermit7,19-Sep
1.587204851,30,Hermit30,19-Sep
1.588916023,10,Hermit10,19-Sep
1.103279134,14,Hermit14,19-Sep
1.179119863,24,Hermit24,19-Sep
1.976803934,2,Hermit2,19-Sep
1.480311651,3,Hermit3,19-Sep
1.863212884,6,Hermit6,19-Sep
1.452915426,12,Hermit12,19-Sep
2.00314943,18,Hermit18,19-Sep
1.804805831,19,Hermit19,19-Sep
2.320303986,22,Hermit22,19-Sep
1.197116385,23,Hermit23,19-Sep
2.229996148,28,Hermit28,19-Sep
1.468926282,32,Hermit32,19-Sep
1.528466697,10,Littorine10,19-Jul
1.041444781,30,Littorine30,19-Jul
1.369073871,3,Littorine3,19-Jul
1.035408445,6,Littorine6,19-Jul
1.575073627,7,Littorine7,19-Jul
1.511375335,14,Littorine14,19-Jul
3.268634038,18,Littorine18,19-Jul
1.065250993,19,Littorine19,19-Jul
2.274608035,22,Littorine22,19-Jul
1.634695814,23,Littorine23,19-Jul
1.001087943,24,Littorine24,19-Jul
1.324394438,28,Littorine28,19-Jul
1.09997046,29,Littorine29,19-Mar
1.363080615,8,Littorine8,19-Mar
1.852068778,9,Littorine9,19-Mar
1.287153881,16,Littorine16,19-Mar
1.171085178,26,Littorine26,19-Mar
1.290020007,35,Littorine35,19-Mar
1.560283953,7,Littorine7,19-Mar
1.367541766,10,Littorine10,19-Mar
1.251219022,11,Littorine11,19-Mar
0.958756421,13,Littorine13,19-Mar
1.316135524,21,Littorine21,19-Mar
0.747947008,30,Littorine30,19-Mar
1.112590802,31,Littorine31,19-Mar
1.473552071,33,Littorine33,19-Mar
1.148378246,15,Littorine15,19-Mar
1.44105445,20,Littorine20,19-Mar
1.303148478,27,Littorine27,19-Mar
1.208635818,28,Littorine28,19-Mar
1.417929229,36,Littorine36,19-Mar
1.772033686,18,Littorine18,19-Sep
1.504812707,19,Littorine19,19-Sep
2.550738402,22,Littorine22,19-Sep
2.087743996,23,Littorine23,19-Sep
1.559762643,24,Littorine24,19-Sep
0.956104236,3,Littorine3,19-Sep
1.382406568,6,Littorine6,19-Sep
1.117447676,14,Littorine14,19-Sep
2.561710263,28,Littorine28,19-Sep
1.289068207,7,Mussel7,19-Jul
1.454662956,10,Mussel10,19-Jul
1.321906148,6,Mussel6,19-Jul
1.514850265,31,Mussel31,19-Jul
0.911346918,1,Mussel1,19-Jul
1.215890453,2,Mussel2,19-Jul
1.744528442,14,Mussel14,19-Jul
0.628861003,22,Mussel22,19-Jul
1.499317693,23,Mussel23,19-Jul
0.651560154,24,Mussel24,19-Jul
1.390847353,28,Mussel28,19-Jul
1.311599489,32,Mussel32,19-Jul
1.438075108,3,Mussel3,19-Jul
1.341385066,18,Mussel18,19-Jul
1.286709661,5,Mussel5,19-Mar
1.603297643,8,Mussel8,19-Mar
0.664197947,9,Mussel9,19-Mar
0.931501721,13,Mussel13,19-Mar
1.000983174,15,Mussel15,19-Mar
1.112921414,16,Mussel16,19-Mar
1.389183115,31,Mussel31,19-Mar
1.300449183,35,Mussel35,19-Mar
1.161752291,10,Mussel10,19-Mar
1.738752048,11,Mussel11,19-Mar
1.582184808,27,Mussel27,19-Mar
1.343362757,28,Mussel28,19-Mar
1.322442297,3,Mussel3,19-Mar
1.627987702,33,Mussel33,19-Mar
1.580377402,36,Mussel36,19-Mar
1.37483895,7,Mussel7,19-Mar
0.96218435,10,Mussel10,19-Sep
1.45716761,2,Mussel2,19-Sep
1.62668446,3,Mussel3,19-Sep
1.53929331,7,Mussel7,19-Sep
0.67510395,23,Mussel23,19-Sep
1.31801699,24,Mussel24,19-Sep
1.43767494,31,Mussel31,19-Sep
1.48522517,32,Mussel32,19-Sep
0.70802649,1,Mussel1,19-Sep
1.18502007,6,Mussel6,19-Sep
1.37902313,14,Mussel14,19-Sep
1.28748649,22,Mussel22,19-Sep
0.78826349,28,Mussel28,19-Sep